Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
8/10 (509298) to (494213),10,A*,205.179,35577,62294,1210,11.148,9980
8/10 (509298) to (494213),10,CA*,191.719,35477,56430,948,11.0631,9904
9/10 (488308) to (15231),1,A*,777.216,96703,187383,606,9.90031,8848
9/10 (488308) to (15231),1,CA*,665.375,96657,167023,486,9.90702,8854
9/10 (488308) to (15231),2,A*,587.985,73592,172543,1331,9.99653,8934
9/10 (488308) to (15231),2,CA*,477.867,73422,131425,1084,9.9943,8932
9/10 (488308) to (15231),5,A*,164.884,29173,61572,1602,10.4844,9370
9/10 (488308) to (15231),5,CA*,153.192,29148,55195,1192,10.4575,9346
9/10 (488308) to (15231),10,A*,113.163,21682,43185,1529,11.3124,10110
9/10 (488308) to (15231),10,CA*,108.797,21644,40859,1100,11.2095,10018
10/10 (86388) to (200160),1,A*,194.519,32885,62806,690,9.88693,4358
10/10 (86388) to (200160),1,CA*,179.245,32909,56201,628,9.95046,4386
10/10 (86388) to (200160),2,A*,82.7402,14171,33479,978,9.88693,4358
10/10 (86388) to (200160),2,CA*,73.6195,14221,26121,661,9.95046,4386
10/10 (86388) to (200160),5,A*,79.064,13044,29450,1014,10.5403,4646
10/10 (86388) to (200160),5,CA*,68.5634,13050,24551,713,10.6174,4680
10/10 (86388) to (200160),10,A*,70.9813,12741,25768,995,10.5857,4666
10/10 (86388) to (200160),10,CA*,67.5895,12748,23984,691,10.6174,4680
1/10 (45999) to (458100),1,A*,0.018,2,9,7,9.89949,14
1/10 (45999) to (458100),1,CA*,0.009875,2,4,2,9.89949,14
1/10 (45999) to (458100),2,A*,0.013,2,9,7,9.89949,14
1/10 (45999) to (458100),2,CA*,0.01325,2,4,2,9.89949,14
1/10 (45999) to (458100),5,A*,0.021791,2,9,7,9.89949,14
1/10 (45999) to (458100),5,CA*,0.015709,2,4,2,9.89949,14
1/10 (45999) to (458100),10,A*,0.023541,2,9,7,9.89949,14
1/10 (45999) to (458100),10,CA*,0.009792,2,4,2,9.89949,14
2/10 (78503) to (78505),1,A*,0.021417,3,12,9,10,20
2/10 (78503) to (78505),1,CA*,0.016833,3,5,2,10,20
2/10 (78503) to (78505),2,A*,0.024583,3,12,9,10,20
2/10 (78503) to (78505),2,CA*,0.013209,3,5,2,10,20
2/10 (78503) to (78505),5,A*,0.016292,3,12,9,10,20
2/10 (78503) to (78505),5,CA*,0.0105,3,5,2,10,20
2/10 (78503) to (78505),10,A*,0.017,3,12,9,10,20
2/10 (78503) to (78505),10,CA*,0.011334,3,5,2,10,20
3/10 (210444) to (209443),1,A*,0.017291,2,9,7,9.89949,14
3/10 (210444) to (209443),1,CA*,0.011458,2,4,2,9.89949,14
3/10 (210444) to (209443),2,A*,0.014209,2,9,7,9.89949,14
3/10 (210444) to (209443),2,CA*,0.008834,2,4,2,9.89949,14
3/10 (210444) to (209443),5,A*,0.013208,2,9,7,9.89949,14
3/10 (210444) to (209443),5,CA*,0.007584,2,4,2,9.89949,14
3/10 (210444) to (209443),10,A*,0.011958,2,9,7,9.89949,14
3/10 (210444) to (209443),10,CA*,0.008584,2,4,2,9.89949,14
4/10 (237330) to (438437),1,A*,81.856,15840,29109,889,9.87683,3714
4/10 (237330) to (438437),1,CA*,78.9867,15861,26876,770,9.89279,3720
4/10 (237330) to (438437),2,A*,82.4488,16268,29500,915,10.1534,3818
4/10 (237330) to (438437),2,CA*,78.1415,16289,26546,609,10.1481,3816
4/10 (237330) to (438437),5,A*,94.6412,18017,36663,888,10.2066,3838
4/10 (237330) to (438437),5,CA*,89.222,18039,31461,582,10.2013,3836
4/10 (237330) to (438437),10,A*,97.6565,18785,37220,830,10.2066,3838
4/10 (237330) to (438437),10,CA*,92.5515,18790,32208,524,10.2013,3836
5/10 (22866) to (121164),1,A*,247.163,40993,60373,753,9.93433,3772
5/10 (22866) to (121164),1,CA*,243.36,40905,57763,707,9.93433,3772
5/10 (22866) to (121164),2,A*,144.042,24241,40606,842,10.2714,3900
5/10 (22866) to (121164),2,CA*,125.868,24196,36766,780,10.2714,3900
5/10 (22866) to (121164),5,A*,128.606,18317,39189,886,10.9246,4148
5/10 (22866) to (121164),5,CA*,96.8548,18284,30874,779,10.9035,4140
5/10 (22866) to (121164),10,A*,97.7191,17138,34798,847,10.9246,4148
5/10 (22866) to (121164),10,CA*,89.2193,17145,28634,723,10.9035,4140
6/10 (97204) to (426136),1,A*,15.8734,3174,6368,747,9.94968,3772
6/10 (97204) to (426136),1,CA*,14.5818,3285,6239,603,10.0235,3800
6/10 (97204) to (426136),2,A*,13.461,2790,6188,790,10.3717,3932
6/10 (97204) to (426136),2,CA*,12.1599,2894,5232,603,10.4456,3960
6/10 (97204) to (426136),5,A*,16.4294,3204,8397,804,10.588,4014
6/10 (97204) to (426136),5,CA*,14.6079,3290,6382,618,10.6408,4034
6/10 (97204) to (426136),10,A*,18.1202,3537,9061,818,10.588,4014
6/10 (97204) to (426136),10,CA*,16.1226,3607,6959,624,10.6408,4034
7/10 (135507) to (1435),1,A*,308.55,49897,96724,1096,9.90961,7474
7/10 (135507) to (1435),1,CA*,276.404,49877,88859,900,9.90961,7474
7/10 (135507) to (1435),2,A*,309.638,47318,100461,1072,10.3551,7810
7/10 (135507) to (1435),2,CA*,271.092,47299,84616,798,10.3445,7802
7/10 (135507) to (1435),5,A*,223.942,32231,77657,1650,11.0764,8354
7/10 (135507) to (1435),5,CA*,191.112,32211,61221,1143,11.0313,8320
7/10 (135507) to (1435),10,A*,200.62,29950,68664,1691,12.031,9074
7/10 (135507) to (1435),10,CA*,175.228,29933,56331,1165,11.9302,8998
8/10 (132505) to (2112),1,A*,285.317,46167,92400,1228,9.90575,7464
8/10 (132505) to (2112),1,CA*,253.156,46152,83575,986,9.90575,7464
8/10 (132505) to (2112),2,A*,279.248,42629,95747,1366,10.3517,7800
8/10 (132505) to (2112),2,CA*,244.03,42619,78466,1028,10.3517,7800
8/10 (132505) to (2112),5,A*,192.946,28210,67235,1772,11.2223,8456
8/10 (132505) to (2112),5,CA*,165.012,28223,53427,1188,11.2117,8448
8/10 (132505) to (2112),10,A*,184.197,27871,62668,1782,12.3264,9288
8/10 (132505) to (2112),10,CA*,163.779,27844,52135,1201,12.2256,9212
9/10 (26492) to (017),1,A*,305.023,49608,98880,1143,9.90963,7460
9/10 (26492) to (017),1,CA*,275.325,49591,87097,911,9.90963,7460
9/10 (26492) to (017),2,A*,295.213,45492,99415,1237,10.2816,7740
9/10 (26492) to (017),2,CA*,258.332,45423,80934,932,10.2709,7732
9/10 (26492) to (017),5,A*,222.735,32025,79863,1454,11.2513,8470
9/10 (26492) to (017),5,CA*,192.367,31981,61887,1076,11.2167,8444
9/10 (26492) to (017),10,A*,200.124,29662,71127,1488,11.9952,9030
9/10 (26492) to (017),10,CA*,172.896,29651,57140,1089,11.9128,8968
10/10 (48411) to (16450),1,A*,91.9633,16825,33861,1274,9.90241,6580
10/10 (48411) to (16450),1,CA*,80.8375,16801,32800,1082,9.90241,6580
10/10 (48411) to (16450),2,A*,3.08154,536,2286,1712,9.92649,6596
10/10 (48411) to (16450),2,CA*,2.23867,531,1464,912,9.91445,6588
10/10 (48411) to (16450),5,A*,2.96325,513,2247,1717,9.95057,6612
10/10 (48411) to (16450),5,CA*,2.20692,511,1430,911,9.95057,6612
10/10 (48411) to (16450),10,A*,3.02358,509,2241,1718,9.95057,6612
10/10 (48411) to (16450),10,CA*,2.18146,507,1424,912,9.95057,6612
1/10 (15566) to (15766),1,A*,0.028125,3,12,9,10,20
1/10 (15566) to (15766),1,CA*,0.010792,3,5,2,10,20
1/10 (15566) to (15766),2,A*,0.019708,3,12,9,10,20
1/10 (15566) to (15766),2,CA*,0.01025,3,5,2,10,20
1/10 (15566) to (15766),5,A*,0.0165,3,12,9,10,20
1/10 (15566) to (15766),5,CA*,0.009292,3,5,2,10,20
1/10 (15566) to (15766),10,A*,0.020916,3,12,9,10,20
1/10 (15566) to (15766),10,CA*,0.009375,3,5,2,10,20
2/10 (422136) to (423135),1,A*,0.012541,2,9,7,9.89949,14
2/10 (422136) to (423135),1,CA*,0.006584,2,4,2,9.89949,14
2/10 (422136) to (423135),2,A*,0.01025,2,9,7,9.89949,14
2/10 (422136) to (423135),2,CA*,0.007167,2,4,2,9.89949,14
2/10 (422136) to (423135),5,A*,0.011333,2,9,7,9.89949,14
2/10 (422136) to (423135),5,CA*,0.00725,2,4,2,9.89949,14
2/10 (422136) to (423135),10,A*,0.016792,2,9,7,9.89949,14
2/10 (422136) to (423135),10,CA*,0.007916,2,4,2,9.89949,14
3/10 (39268) to (39071),1,A*,0.025417,4,19,15,9.92575,38
3/10 (39268) to (39071),1,CA*,0.020167,4,10,6,9.92575,38
3/10 (39268) to (39071),2,A*,0.025584,4,19,15,9.92575,38
3/10 (39268) to (39071),2,CA*,0.017125,4,10,6,9.92575,38
3/10 (39268) to (39071),5,A*,0.023375,4,19,15,9.92575,38
3/10 (39268) to (39071),5,CA*,0.016916,4,10,6,9.92575,38
3/10 (39268) to (39071),10,A*,0.029417,4,19,15,9.92575,38
3/10 (39268) to (39071),10,CA*,0.016958,4,10,6,9.92575,38
4/10 (96130) to (73435),1,A*,115.933,20111,40379,852,9.90345,4176
4/10 (96130) to (73435),1,CA*,105.62,20111,35857,681,9.90345,4176
4/10 (96130) to (73435),2,A*,63.6121,11586,27401,1167,10.6434,4488
4/10 (96130) to (73435),2,CA*,55.9402,11517,21731,799,10.6054,4472
4/10 (96130) to (73435),5,A*,54.7969,10638,21910,1224,12.2418,5162
4/10 (96130) to (73435),5,CA*,52.565,10722,19999,837,12.3129,5192
4/10 (96130) to (73435),10,A*,53.0433,10303,20637,1261,13.1382,5540
4/10 (96130) to (73435),10,CA*,52.5997,10289,19211,885,13.0528,5504
5/10 (251237) to (378444),1,A*,117.91,23118,41979,766,9.89685,4168
5/10 (251237) to (378444),1,CA*,106.293,22268,36249,575,9.89685,4168
5/10 (251237) to (378444),2,A*,37.1364,7894,15688,978,10.3243,4348
5/10 (251237) to (378444),2,CA*,34.123,7871,12814,728,10.3243,4348
5/10 (251237) to (378444),5,A*,15.1836,2991,7970,847,10.9796,4624
5/10 (251237) to (378444),5,CA*,13.0388,2961,5753,630,10.9416,4608
5/10 (251237) to (378444),10,A*,11.1787,2126,6055,850,10.9796,4624
5/10 (251237) to (378444),10,CA*,9.29829,2112,4257,613,10.9416,4608
6/10 (192195) to (496405),1,A*,43.3468,8710,18626,1181,9.87414,4180
6/10 (192195) to (496405),1,CA*,39.0801,8747,16159,805,9.88831,4186
6/10 (192195) to (496405),2,A*,34.1627,6578,15830,961,12.3498,5228
